name_clean,geometry
bakilar mahallesi,"POLYGON ((32.2898644 36.2612992, 32.3084146 36.2613165, 32.3149055 36.2611564, 32.3228618 36.2601507, 32.3236951 36.2591225, 32.3233921 36.2585269, 32.3240358 36.2576527, 32.3254949 36.2560353, 32.3262888 36.2557667, 32.326321 36.2551615, 32.3260957 36.2541315, 32.3262674 36.2537513, 32.3261708 36.2524362, 32.3269648 36.2509649, 32.3271686 36.2497103, 32.3278016 36.2494945, 32.3271579 36.2468468, 32.3245222 36.2471032, 32.3235101 36.2472016, 32.3231453 36.2459811, 32.321109 36.2471518, 32.3196691 36.2475568, 32.3190254 36.2475048, 32.3188967 36.2477809, 32.3189825 36.2483009, 32.3182744 36.24882, 32.3181457 36.2491315, 32.3180598 36.2495632, 32.3183388 36.2503073, 32.3176521 36.251035, 32.3180598 36.252229, 32.3173088 36.252851, 32.3176736 36.2534048, 32.3175448 36.2538036, 32.3177809 36.2542007, 32.3163218 36.2549283, 32.315163 36.2549794, 32.3138756 36.2551005, 32.3120946 36.2555339, 32.31085 36.2560176, 32.3105711 36.2560522, 32.3102063 36.2562434, 32.3092622 36.2565202, 32.3079747 36.2572115, 32.3070735 36.2567789, 32.3057646 36.2568144, 32.3058719 36.2577487, 32.304402 36.2567374, 32.3026961 36.255758, 32.3002929 36.2557243, 32.2995204 36.255983, 32.2984605 36.2557282, 32.2961086 36.2561906, 32.2925681 36.2579737, 32.2908944 36.2591321, 32.2898644 36.2612992))"
koru mahallesi,"POLYGON ((32.2782709 36.2624398, 32.279592 36.2623952, 32.2805684 36.2624211, 32.2809975 36.2627153, 32.2815769 36.2629921, 32.2828536 36.2629835, 32.2850101 36.2626201, 32.286319 36.2621703, 32.2882931 36.2617204, 32.2897122 36.2612224, 32.2898644 36.2612992, 32.2908944 36.2591321, 32.2925681 36.2579737, 32.2961086 36.2561906, 32.2984605 36.2557282, 32.2995204 36.255983, 32.3002929 36.2557243, 32.3026961 36.255758, 32.304402 36.2567374, 32.3058719 36.2577487, 32.3057646 36.2568144, 32.3070735 36.2567789, 32.3079747 36.2572115, 32.3092622 36.2565202, 32.3102063 36.2562434, 32.3105711 36.2560522, 32.31085 36.2560176, 32.3120946 36.2555339, 32.3138756 36.2551005, 32.315163 36.2549794, 32.3163218 36.2549283, 32.3177809 36.2542007, 32.3175448 36.2538036, 32.3176736 36.2534048, 32.3173088 36.252851, 32.3180598 36.252229, 32.3176521 36.251035, 32.3183388 36.2503073, 32.3180598 36.2495632, 32.3181457 36.2491315, 32.3182744 36.24882, 32.3189825 36.2483009, 32.3188967 36.2477809, 32.3190254 36.2475048, 32.3196691 36.2475568, 32.321109 36.2471518, 32.3231453 36.2459811, 32.3235101 36.2472016, 32.3245222 36.2471032, 32.3246414 36.246679, 32.3244186 36.2461997, 32.3248453 36.2458224, 32.3250389 36.2453236, 32.3252208 36.2450523, 32.3251779 36.2440226, 32.3254246 36.2436505, 32.3250169 36.2432698, 32.3248882 36.2428458, 32.3240943 36.2421536, 32.3243303 36.2417036, 32.3234934 36.2410546, 32.3233438 36.2406423, 32.3233969 36.2402412, 32.3238588 36.2382193, 32.3238158 36.237579, 32.3240728 36.2369962, 32.3245932 36.2350625, 32.3249424 36.2345242, 32.3248029 36.2341434, 32.3243308 36.2338838, 32.323826 36.2322452, 32.3231287 36.2316394, 32.321573 36.2304451, 32.3204792 36.2293144, 32.3192234 36.2280824, 32.3187084 36.2278401, 32.3184187 36.2274506, 32.3174746 36.2266197, 32.316807 36.225536, 32.3161436 36.2256792, 32.3152242 36.2259021, 32.3147784 36.2261717, 32.3143594 36.2264404, 32.3140182 36.2268294, 32.3136492 36.2274097, 32.3131556 36.2275655, 32.3126637 36.227617, 32.3123853 36.2279043, 32.3121428 36.228244, 32.3117239 36.2286127, 32.3111831 36.2290974, 32.310751 36.229098, 32.310011 36.2293107, 32.3095272 36.2295072, 32.3089693 36.2296335, 32.3087751 36.2293549, 32.3081855 36.2293553, 32.3075117 36.2295474, 32.3071534 36.2299356, 32.3067639 36.2299204, 32.3065301 36.2296673, 32.3060424 36.2300753, 32.3056755 36.2306084, 32.305026 36.230864, 32.3040138 36.2310976, 32.3037078 36.2313821, 32.3041852 36.2314772, 32.304068 36.231629, 32.3039097 36.2316876, 32.3036919 36.2317435, 32.3035816 36.2317785, 32.3036095 36.2318639, 32.303618 36.2319465, 32.3035619 36.2321024, 32.3032921 36.2322285, 32.3031308 36.2322826, 32.3030473 36.232258, 32.3029988 36.2322731, 32.3029861 36.2323354, 32.3026085 36.2322232, 32.30256 36.2321447, 32.3026208 36.2319036, 32.3026458 36.2317483, 32.3026746 36.231599, 32.3026453 36.2315794, 32.3026417 36.231453, 32.302511 36.2312894, 32.3023083 36.2316696, 32.301531 36.231614, 32.300817 36.231662, 32.3002228 36.2319524, 32.2993431 36.2325917, 32.299603 36.2332321, 32.2992889 36.2332405, 32.2990499 36.2335236, 32.2991731 36.2338846, 32.2988326 36.2338441, 32.2985358 36.2339571, 32.2976217 36.2340511, 32.29675 36.234285, 32.2964272 36.2344561, 32.2960045 36.2348018, 32.2953286 36.2351445, 32.2961241 36.2353332, 32.2966069 36.2356179, 32.296821 36.2357934, 32.2971431 36.2358557, 32.2971761 36.2360115, 32.2971444 36.2362193, 32.2969472 36.2364206, 32.2968318 36.2363476, 32.2969325 36.2359339, 32.2965203 36.2362688, 32.2964233 36.2358954, 32.2953172 36.237302, 32.2954564 36.2374194, 32.296182 36.2366198, 32.2963204 36.236718, 32.2956973 36.2374726, 32.2954102 36.2381411, 32.295504 36.2384196, 32.2952199 36.2387036, 32.2950429 36.2392033, 32.2946371 36.2398987, 32.2941417 36.2399906, 32.2940156 36.24012, 32.2940833 36.2407546, 32.2936141 36.2407502, 32.2935638 36.2408736, 32.2936782 36.2410136, 32.2935008 36.2412597, 32.2932396 36.2416665, 32.2933319 36.2419315, 32.2927345 36.2422296, 32.2927809 36.2424008, 32.292531 36.2425387, 32.2925144 36.2427882, 32.2923487 36.2429619, 32.2925333 36.2432605, 32.2921952 36.2438742, 32.2916889 36.2440265, 32.2915889 36.2442391, 32.2916344 36.244709, 32.2913195 36.2447484, 32.2909961 36.2451693, 32.2912108 36.2453132, 32.290977 36.2457265, 32.2905916 36.246325, 32.290454 36.24658, 32.2903145 36.246789, 32.2901578 36.2469776, 32.2900409 36.2473176, 32.28981 36.247604, 32.2893971 36.2484805, 32.289164 36.248885, 32.288845 36.24914, 32.2883833 36.2498415, 32.2876537 36.2508685, 32.2872492 36.2515105, 32.2870025 36.2518428, 32.2867825 36.2521966, 32.2863684 36.2529173, 32.2861699 36.2533101, 32.285948 36.253748, 32.285629 36.2542716, 32.2852704 36.2545361, 32.2850531 36.2547082, 32.2847946 36.254909, 32.2844615 36.2554094, 32.2843134 36.255746, 32.2835259 36.2560254, 32.2831949 36.256317, 32.2831509 36.2566336, 32.2832035 36.2568755, 32.2829616 36.2570623, 32.2823994 36.2571661, 32.2817733 36.2574966, 32.2816961 36.2577843, 32.2813925 36.2579627, 32.280989 36.258343, 32.2809365 36.2586263, 32.2801104 36.2589972, 32.2797493 36.2593363, 32.2791721 36.2594228, 32.2791603 36.2596395, 32.2787258 36.2598766, 32.2783256 36.2601223, 32.2778552 36.260496, 32.2771326 36.2607361, 32.2770752 36.2610462, 32.2768231 36.2613884, 32.2770387 36.261516, 32.2764488 36.2619028, 32.2755804 36.2629789, 32.2757793 36.2631006, 32.2760352 36.2630532, 32.2761068 36.2628796, 32.2759679 36.2628164, 32.276289 36.2623929, 32.276672 36.2621459, 32.2773973 36.2617448, 32.2778747 36.2621429, 32.2782652 36.2623426, 32.2782709 36.2624398))"
pazarcı mahallesi,"POLYGON ((32.276057 36.2816404, 32.2920832 36.278673, 32.2955315 36.2791764, 32.2966626 36.2791013, 32.2971658 36.2800441, 32.297154 36.280294, 32.2972835 36.2807405, 32.2974016 36.2818908, 32.2976966 36.2819211, 32.2994561 36.2832054, 32.3048443 36.2780678, 32.3101144 36.2728384, 32.3122693 36.2743183, 32.3139017 36.2731325, 32.3167239 36.2719051, 32.3170453 36.2719042, 32.3175629 36.2718705, 32.3178136 36.2707268, 32.3185976 36.2709925, 32.318945 36.2702823, 32.3192654 36.2704247, 32.320122 36.2696874, 32.3204428 36.2687469, 32.3207011 36.2680283, 32.321785 36.2682306, 32.3222391 36.2671142, 32.3226272 36.2656734, 32.3236248 36.2657976, 32.3239226 36.2654652, 32.3262116 36.2641769, 32.3286345 36.2639161, 32.3268236 36.2631377, 32.3257711 36.2628097, 32.3228618 36.2601507, 32.3149055 36.2611564, 32.3084146 36.2613165, 32.2898644 36.2612992, 32.2897122 36.2612224, 32.2882931 36.2617204, 32.286319 36.2621703, 32.2850101 36.2626201, 32.2828536 36.2629835, 32.2815769 36.2629921, 32.2809975 36.2627153, 32.2805684 36.2624211, 32.279592 36.2623952, 32.2782709 36.2624398, 32.2782676 36.2624855, 32.2782591 36.2625985, 32.278019 36.2626966, 32.2776609 36.2628763, 32.2772011 36.2631993, 32.2771082 36.2635419, 32.2769483 36.2639254, 32.2769202 36.2647316, 32.2769586 36.2658355, 32.2769833 36.2661701, 32.2771396 36.2663363, 32.2774079 36.2663185, 32.2775271 36.2661642, 32.2775238 36.2660075, 32.2773211 36.2658306, 32.2773687 36.265202, 32.277511 36.2651898, 32.2775271 36.2646281, 32.2775074 36.2640603, 32.2777365 36.2640635, 32.2777427 36.2635, 32.277816 36.2634106, 32.2782469 36.26311, 32.2787766 36.2629421, 32.2797402 36.2628488, 32.2797721 36.2631162, 32.2801202 36.2630889, 32.2801256 36.2631447, 32.279779 36.2631745, 32.2798221 36.2635479, 32.2798709 36.263971, 32.2798722 36.2639823, 32.280126 36.2639718, 32.2801797 36.2645136, 32.2799569 36.2645309, 32.2800489 36.2651594, 32.2786868 36.265273, 32.278281 36.265313, 32.2782222 36.2652802, 32.2781456 36.2653696, 32.2781442 36.265472, 32.2781699 36.26559, 32.2782707 36.2656734, 32.2784725 36.2657373, 32.2788669 36.265708, 32.2794251 36.266301, 32.2797544 36.2669706, 32.2797993 36.2677602, 32.2795657 36.2695244, 32.2791327 36.2712878, 32.2789567 36.2726476, 32.2784084 36.275207, 32.2781749 36.2766009, 32.2766991 36.2799664, 32.2761324 36.2813079, 32.276057 36.2816404))"
ekmel mahallesi,"POLYGON ((32.3228618 36.2601507, 32.3257711 36.2628097, 32.3268236 36.2631377, 32.327786 36.2610226, 32.3279952 36.2611005, 32.3284941 36.2601575, 32.3302107 36.2600537, 32.3330389 36.261219, 32.3338575 36.260988, 32.3372596 36.2618297, 32.3377628 36.2612475, 32.3389215 36.2610745, 32.3400276 36.2613799, 32.3401875 36.2606074, 32.3416799 36.2573484, 32.3426884 36.2575907, 32.3443041 36.254708, 32.3448438 36.2549321, 32.3457997 36.2550644, 32.3467321 36.2539631, 32.3475904 36.2520086, 32.3477406 36.25078, 32.3480839 36.2507108, 32.3476977 36.2497418, 32.3479981 36.249015, 32.3468608 36.2485651, 32.3470539 36.2482017, 32.3445863 36.2471634, 32.344243 36.2462808, 32.3431057 36.246125, 32.3404664 36.2449137, 32.3399514 36.2444637, 32.3387069 36.2432523, 32.3382348 36.2421101, 32.3364152 36.2404513, 32.3345366 36.2389482, 32.3323275 36.2382932, 32.3300981 36.2373871, 32.3296636 36.2355119, 32.3290113 36.2330585, 32.326799 36.2315526, 32.323826 36.2322452, 32.3243308 36.2338838, 32.3248029 36.2341434, 32.3249424 36.2345242, 32.3245932 36.2350625, 32.3240728 36.2369962, 32.3238158 36.237579, 32.3238588 36.2382193, 32.3233969 36.2402412, 32.3233438 36.2406423, 32.3234934 36.2410546, 32.3243303 36.2417036, 32.3240943 36.2421536, 32.3248882 36.2428458, 32.3250169 36.2432698, 32.3254246 36.2436505, 32.3251779 36.2440226, 32.3252208 36.2450523, 32.3250389 36.2453236, 32.3248453 36.2458224, 32.3244186 36.2461997, 32.3246414 36.246679, 32.3245222 36.2471032, 32.3271579 36.2468468, 32.3278016 36.2494945, 32.3271686 36.2497103, 32.3269648 36.2509649, 32.3261708 36.2524362, 32.3262674 36.2537513, 32.3260957 36.2541315, 32.326321 36.2551615, 32.3262888 36.2557667, 32.3254949 36.2560353, 32.3240358 36.2576527, 32.3233921 36.2585269, 32.3236951 36.2591225, 32.3228618 36.2601507))"
istiklal mahallesi,"POLYGON ((32.3170453 36.2719042, 32.316811 36.2776188, 32.3167557 36.2781763, 32.3174531 36.2810391, 32.3174209 36.2812207, 32.3179477 36.2820996, 32.3180255 36.282347, 32.3191756 36.2817958, 32.3192555 36.2819299, 32.320299 36.2815643, 32.3219442 36.2813943, 32.3220408 36.2815686, 32.3223289 36.2814315, 32.3224394 36.2815682, 32.3241147 36.2807863, 32.3245985 36.2812726, 32.3248131 36.281238, 32.3242123 36.2799753, 32.324223 36.2799147, 32.3247809 36.2797504, 32.3242015 36.2786952, 32.3241157 36.2779082, 32.3240771 36.2774831, 32.3244569 36.2772472, 32.3242498 36.2769092, 32.3241967 36.2765502, 32.3237042 36.2764335, 32.3235637 36.2761351, 32.3237461 36.2758064, 32.3235154 36.2754215, 32.3234081 36.2752874, 32.3237724 36.275063, 32.3234827 36.2740337, 32.3240835 36.2739904, 32.3245019 36.2740683, 32.3249509 36.2735091, 32.3264901 36.2698916, 32.3235937 36.2692763, 32.3204428 36.2687469, 32.320122 36.2696874, 32.3192654 36.2704247, 32.318945 36.2702823, 32.3185976 36.2709925, 32.3178136 36.2707268, 32.3175629 36.2718705, 32.3170453 36.2719042))"
yeni mahallesi,"POLYGON ((32.3204428 36.2687469, 32.3235937 36.2692763, 32.3264901 36.2698916, 32.3300365 36.2707417, 32.3341046 36.2718099, 32.3358213 36.2724413, 32.3360573 36.2718013, 32.3361002 36.2715677, 32.3367654 36.2704177, 32.3286345 36.2639161, 32.3262116 36.2641769, 32.3239226 36.2654652, 32.3236248 36.2657976, 32.3226272 36.2656734, 32.3222391 36.2671142, 32.321785 36.2682306, 32.3207011 36.2680283, 32.3204428 36.2687469))"
gazi mahallesi,"POLYGON ((32.3048443 36.2780678, 32.305797 36.2785913, 32.3066177 36.2789675, 32.3073795 36.2795513, 32.3076263 36.2797416, 32.3080125 36.2798886, 32.3088711 36.2799989, 32.3096221 36.2806411, 32.3098259 36.2811665, 32.3108881 36.2802951, 32.3125629 36.2804253, 32.3133664 36.2791016, 32.3153942 36.2801373, 32.3163458 36.2804473, 32.3174209 36.2812207, 32.3174531 36.2810391, 32.3167557 36.2781763, 32.316811 36.2776188, 32.3170453 36.2719042, 32.3167239 36.2719051, 32.3139017 36.2731325, 32.3122693 36.2743183, 32.3101144 36.2728384, 32.3048443 36.2780678))"
esentepe mahallisi,"POLYGON ((32.3180255 36.282347, 32.3184359 36.2849087, 32.318518 36.2867209, 32.3187969 36.2872298, 32.3193838 36.2874845, 32.3202566 36.2877626, 32.3224045 36.288428, 32.323339 36.2867481, 32.3246973 36.285562, 32.32434 36.285268, 32.3246109 36.2851841, 32.3250508 36.2851616, 32.3254209 36.2847854, 32.3255427 36.2842596, 32.3253941 36.2836036, 32.3256403 36.2831504, 32.3262384 36.2825364, 32.3260963 36.2821558, 32.3248131 36.281238, 32.3245985 36.2812726, 32.3241147 36.2807863, 32.3224394 36.2815682, 32.3223289 36.2814315, 32.3220408 36.2815686, 32.3219442 36.2813943, 32.320299 36.2815643, 32.3192555 36.2819299, 32.3191756 36.2817958, 32.3180255 36.282347))"
,"LINESTRING (31.9885991 36.5410699, 31.9889124 36.5412701, 31.9888561 36.5415739, 31.9887864 36.5421579, 31.988494 36.5429251, 31.9884323 36.5430285, 31.9883438 36.5433755, 31.9885396 36.5434617, 31.9895159 36.543619, 31.9901597 36.5437267, 31.9903394 36.5437289, 31.9905861 36.5437009, 31.9909214 36.5436233, 31.9920143 36.5433909, 31.9934653 36.5431463, 31.9942298 36.5429899, 31.9948562 36.542862, 31.9954543 36.542734, 31.9957033 36.5426008)"
,"LINESTRING (31.9957033 36.5426008, 31.9956667 36.5426829, 31.9956172 36.5431008, 31.9954903 36.5443854, 31.9954938 36.5444208, 31.9954641 36.5445338, 31.9952469 36.5458664, 31.9951799 36.5463189, 31.9950189 36.5467499, 31.9948607 36.547211, 31.9947883 36.5474071, 31.9945898 36.5480773, 31.9944691 36.5483401, 31.9944476 36.5484156, 31.9944637 36.548575, 31.9947212 36.5491396, 31.9950028 36.5496933, 31.9952013 36.55026, 31.9953301 36.5506026, 31.9953301 36.5507599, 31.9951772 36.5512619, 31.9950055 36.551764, 31.9949143 36.5518933, 31.994799 36.5520161, 31.9944637 36.5522725, 31.9941579 36.5524513, 31.9937899 36.552596)"
