name_clean,geometry
orhaneli merkez,"POLYGON ((28.9514716 39.9057237, 28.9509345 39.9071845, 28.9531319 39.9068099, 28.9533272 39.9079711, 28.9552316 39.9081584, 28.9594799 39.9122411, 28.9607495 39.9156868, 28.961907 39.9174924, 28.9679765 39.9269592, 28.9674211 39.9287345, 28.9674987 39.929509, 28.9696999 39.9309851, 28.9722392 39.9320461, 28.9739297 39.9327524, 28.9754403 39.934255, 28.977184 39.9339042, 28.9785048 39.9330106, 28.9806542 39.9296612, 28.9811117 39.9291383, 28.9803261 39.9282116, 28.9820871 39.9248191, 28.9845386 39.9219592, 28.9860924 39.922886, 28.9883023 39.9204498, 28.9914789 39.9190728, 28.9962093 39.918702, 28.9981084 39.9216679, 29.0076373 39.9154502, 29.0095418 39.9133154, 29.0095764 39.9128158, 29.0097859 39.9097946, 29.0133017 39.9077345, 29.0135979 39.9073299, 29.0153038 39.9050001, 29.0237515 39.9030522, 29.0292694 39.9025652, 29.0284393 39.900917, 29.0341525 39.8991563, 29.0337082 39.8976393, 29.0211098 39.8887976, 29.0183265 39.8883854, 29.0181312 39.884676, 29.0211587 39.8846011, 29.0277997 39.8802919, 29.0090486 39.880217, 29.0086091 39.8775564, 29.0060211 39.8775189, 29.0055816 39.8786431, 28.9996243 39.8789804, 28.9931549 39.8774682, 28.9909278 39.8791376, 28.9888215 39.8802107, 28.9861283 39.8809261, 28.984609 39.8786474, 28.9838114 39.8790603, 28.9817432 39.8801312, 28.9788082 39.8805817, 28.9769782 39.8819595, 28.9668959 39.8843971, 28.9677936 39.885033, 28.9655838 39.8860927, 28.9643142 39.8887905, 28.965242 39.8933239, 28.9650955 39.8947475, 28.9656814 39.8957965, 28.9633864 39.8971452, 28.9589428 39.8983815, 28.9574778 39.901678, 28.9522529 39.9042628, 28.9524971 39.9051243, 28.9514716 39.9057237))"
,"LINESTRING (29.2282198 40.181505, 29.2274989 40.1831945, 29.2282112 40.1861065, 29.2293595 40.1864002, 29.2304863 40.1874058, 29.230733 40.1876185)"
i̇hsaniye-konak mahalle sınırı,"LINESTRING (28.9779732 40.2111065, 28.9796416 40.2111117, 28.9807657 40.211231, 28.9827923 40.211358, 28.9840588 40.2114152, 28.9845615 40.2114841, 28.9854216 40.2115186, 28.9875495 40.2115931, 28.9878675 40.2116045, 28.988621 40.2116429, 28.9895476 40.2117033, 28.9910309 40.2118125)"
hamzabey-kocanaip mahalle sınırı,"LINESTRING (29.0458421 40.1894033, 29.0449106 40.1888164, 29.0446231 40.1891543, 29.0445026 40.1892726, 29.0443473 40.189419, 29.0442335 40.1895203, 29.0439965 40.189639, 29.0436147 40.1897559, 29.04323 40.1895081, 29.0429887 40.1893429, 29.0429107 40.1892027, 29.0428303 40.1891067, 29.0426895 40.1889953, 29.0425537 40.1888897, 29.0423551 40.1887533, 29.0420886 40.1886016)"
esentepe-i̇hsaniye mahalle sınırı,"LINESTRING (28.9930029 40.2197726, 28.9922643 40.2200477, 28.9916806 40.2203259, 28.9911295 40.2205844, 28.9903444 40.2208572, 28.9896876 40.2210875, 28.9892275 40.2212524, 28.9890682 40.2213361, 28.9888228 40.2214665, 28.9885331 40.2216426, 28.9884344 40.2216969, 28.9879399 40.2219608, 28.9878345 40.2220302, 28.9875173 40.2222389, 28.9872773 40.2224069, 28.9864228 40.2230052, 28.9858601 40.2233903, 28.9855081 40.2236476, 28.985393 40.2237178, 28.985103 40.2238856, 28.9849879 40.2239506, 28.9847749 40.2240091, 28.9845007 40.2240479, 28.9837175 40.2241479, 28.9830397 40.2242432, 28.9812742 40.2244747, 28.9794307 40.224739, 28.979061 40.2247601)"
mollafenari - i̇vazpaşa mahalle sınırı,"LINESTRING (29.0479378 40.1787678, 29.0482141 40.1790762, 29.0483938 40.1792493, 29.0485709 40.1793313, 29.0487747 40.1793805, 29.0492092 40.179401, 29.049397 40.1794051, 29.0495633 40.1794256, 29.0498476 40.1795075, 29.0500515 40.1795936, 29.0504377 40.179819, 29.0506094 40.1798887, 29.0508937 40.1799461, 29.0511994 40.1799871, 29.0516715 40.1800854, 29.0518754 40.1800977, 29.0521221 40.1800567, 29.052267 40.1799994, 29.0523404 40.1799488, 29.0523964 40.1798489, 29.0523964 40.1797562, 29.0523871 40.1795599, 29.0524338 40.1794672, 29.0525505 40.1794065, 29.0527513 40.179378, 29.0532043 40.179378, 29.053662 40.179353, 29.0537974 40.1793565, 29.0539001 40.1793494, 29.0540169 40.1793209, 29.0546146 40.1790996, 29.0551424 40.1789177, 29.0553105 40.1788856, 29.0558148 40.1788035, 29.0561277 40.17875, 29.0561978 40.1787821, 29.0566414 40.178725, 29.0579303 40.1785002, 29.0579303 40.1783967, 29.0579537 40.1783468, 29.0580191 40.178304, 29.0581031 40.1782826, 29.0582806 40.1783147, 29.058388 40.1783361, 29.0584674 40.1783967, 29.0588223 40.1783289, 29.0588457 40.178386, 29.0590371 40.1783575, 29.0591259 40.1783575, 29.0594294 40.1783896, 29.0596616 40.178506)"
mollafenari-kirizlı mahalle sınırı,"LINESTRING (29.0479378 40.1787678, 29.0478359 40.1785567, 29.0477233 40.1779788, 29.047675 40.1778599, 29.0475034 40.1776714, 29.0472941 40.1774459, 29.0472459 40.1773312, 29.0472137 40.1770771, 29.0471976 40.1767, 29.0472834 40.176741, 29.0474014 40.1768844, 29.0474765 40.1770689, 29.0475677 40.1771754, 29.0479647 40.1774336, 29.0482168 40.1777697, 29.0483778 40.1779296, 29.0484368 40.1780279, 29.0485011 40.1781796, 29.048587 40.1782042, 29.0487318 40.1782124, 29.0489196 40.1782042, 29.049118 40.1781796, 29.0492039 40.178155, 29.0493272 40.1781058, 29.0494721 40.1780996, 29.0496062 40.1780976, 29.0498365 40.1766216, 29.0498609 40.1764103, 29.049991 40.176224, 29.0500641 40.1760003, 29.0500641 40.1756338, 29.0500804 40.1755157, 29.0501454 40.1754412, 29.0503731 40.1750373, 29.0505926 40.1748323, 29.0506902 40.1748323, 29.051048 40.1750001, 29.0526335 40.1751927, 29.0527148 40.1754101, 29.052975 40.175261, 29.0533165 40.1753977, 29.0533409 40.1752672, 29.0536092 40.1752859, 29.0532027 40.1747205, 29.0533978 40.1746646, 29.0533409 40.1744844, 29.0540239 40.1745031, 29.0549183 40.1742235, 29.0546012 40.1739439, 29.0546906 40.1738818, 29.0545199 40.1737824, 29.0547232 40.1735028, 29.0549834 40.1736333, 29.0551704 40.1735463, 29.0553249 40.1733475, 29.0555363 40.1733288, 29.0556664 40.1732294, 29.0558696 40.1732667, 29.0560079 40.1736768, 29.0569673 40.1735401, 29.0572356 40.1734842, 29.0574064 40.1734717, 29.0576503 40.1734842, 29.0578454 40.1734904, 29.0580406 40.173478, 29.0583089 40.1734407, 29.0585203 40.1733723, 29.0585122 40.173099, 29.0585772 40.1730493, 29.0585772 40.172925, 29.0585528 40.1727883, 29.0585203 40.1727013, 29.0584146 40.1725585, 29.0588699 40.1724342, 29.0587724 40.1723224, 29.0585122 40.1719434, 29.0584227 40.1718067, 29.0583414 40.1716949, 29.0583008 40.1716141, 29.0582195 40.1714153, 29.0581544 40.1712848, 29.0580812 40.1711978, 29.0579105 40.1710798, 29.0578048 40.1710425, 29.057691 40.1710114, 29.0576259 40.1709555, 29.057569 40.1708747, 29.0575039 40.1707505, 29.057447 40.1706635, 29.0573413 40.1704025, 29.0572681 40.170241, 29.0569023 40.1697564, 29.0567803 40.1696259, 29.0566909 40.1695762, 29.0565038 40.1694768, 29.0563087 40.1693463, 29.0561298 40.1691848, 29.0560079 40.1690294, 29.0558778 40.1688555, 29.0557395 40.1686753, 29.0556338 40.1685262, 29.0556013 40.1684268, 29.055585 40.1682963, 29.055585 40.1681409, 29.055585 40.1680291, 29.0555363 40.1678862)"
i̇vazpaşa-kirazlı mahalle sınırı,"LINESTRING (29.0466512 40.1775654, 29.0468443 40.1775654, 29.0471233 40.1777375, 29.0473325 40.1780449, 29.0476007 40.1783113, 29.0476991 40.1785392, 29.0479378 40.1787678)"
alipaşa - mollafenari mahalle sınırı,"LINESTRING (29.0596616 40.178506, 29.0599817 40.1782562)"
maksem - mollafenari mahalle sınırı,"LINESTRING (29.0599817 40.1782562, 29.059853 40.1781579, 29.0597993 40.17808, 29.0597832 40.1780267, 29.0597779 40.1778996, 29.059751 40.1778628, 29.0596384 40.1778546, 29.0595633 40.1778341, 29.0594774 40.1777193, 29.0595794 40.1776168, 29.0594399 40.1773996, 29.0595525 40.1773791, 29.0596598 40.177334, 29.0598369 40.1771824, 29.0600246 40.177002, 29.0600675 40.1768709, 29.0601158 40.1767438, 29.0601534 40.1766618, 29.0602231 40.1766045, 29.0602928 40.1765143, 29.0603626 40.1764446, 29.0604437 40.1764057, 29.0605575 40.1763716, 29.0606347 40.1763188, 29.0606713 40.1762349, 29.0608543 40.1760703, 29.0610657 40.1757907, 29.0611511 40.175595, 29.0611958 40.1753776, 29.0611754 40.1751943, 29.0612242 40.1750327, 29.0612202 40.1749116, 29.0611917 40.1748184, 29.061086 40.1747594, 29.0610006 40.1746911, 29.0608218 40.1745419, 29.06059 40.1744239, 29.0605006 40.174309, 29.0604924 40.1741971, 29.0605046 40.1740356, 29.0604884 40.1736566, 29.0604437 40.1733242, 29.0603827 40.1729825, 29.0603704 40.1727953, 29.0603888 40.1726117, 29.0606353 40.1721785, 29.0609003 40.1720561, 29.0613518 40.1719354)"
