name_clean,geometry
,"LINESTRING (33.5324674 38.9476279, 33.5332239 38.9468645, 33.5339963 38.9459633, 33.5344523 38.9453918, 33.5352302 38.9443571, 33.5359007 38.9432848, 33.5365713 38.9421624, 33.5375208 38.9405894)"
,"LINESTRING (33.5312498 38.9216733, 33.5298443 38.9209554, 33.5290182 38.9203962, 33.5282886 38.9197117, 33.5275376 38.9189771, 33.5268724 38.9182509, 33.5263359 38.9176958, 33.5255957 38.9170154, 33.5249734 38.915972, 33.5245335 38.9153793, 33.5237396 38.9147949, 33.5210681 38.9128832, 33.5191369 38.9112887, 33.5177314 38.9098194, 33.5154263 38.9072085, 33.5151141 38.9066779)"
,"LINESTRING (33.5391061 38.9380891, 33.5388297 38.9380192, 33.538878 38.937919, 33.5386312 38.9379566, 33.5375529 38.9380818, 33.5364962 38.9375977, 33.5348171 38.9368091, 33.5346937 38.936734)"
,"LINESTRING (33.3883556 38.9607563, 33.3902621 38.9605267, 33.4038019 38.9580239, 33.4147453 38.9559716, 33.4202599 38.9569727, 33.4296477 38.9531849, 33.4340036 38.9524257, 33.4388208 38.9515913, 33.4458053 38.9503481, 33.4500646 38.9496305, 33.4559226 38.9485709, 33.4604609 38.9477865, 33.4662759 38.9467602, 33.4705031 38.9459842, 33.4760606 38.9450496, 33.4800839 38.9443404, 33.4853518 38.9434141, 33.4890318 38.9427883, 33.4923255 38.9421708, 33.4950936 38.9416784, 33.4997392 38.940869, 33.5044491 38.9400679, 33.509202 38.9392084, 33.5140622 38.9383572, 33.5183537 38.9375894, 33.5209393 38.9371388, 33.5223663 38.9369552, 33.5255635 38.9367549, 33.5295439 38.9365045, 33.5335994 38.9365546, 33.5341573 38.9365796, 33.5346937 38.936734)"
,"LINESTRING (33.5269425 38.9542735, 33.5267329 38.9545615, 33.5257727 38.9556211, 33.5252738 38.9560633, 33.5243994 38.9567391, 33.5227364 38.9578904, 33.5210466 38.959025, 33.5191798 38.960364, 33.5168785 38.9619199, 33.5153925 38.9629377, 33.5134131 38.9643016, 33.5119164 38.9652943, 33.5103929 38.9663746, 33.508569 38.9676258, 33.5064232 38.9690981, 33.5041058 38.970658, 33.5022122 38.9719592, 33.500002 38.9734523, 33.4982425 38.9745825, 33.4960484 38.9761547, 33.4716081 38.9930217, 33.4700203 38.9941391, 33.4690869 38.9950105, 33.4679496 38.9962279, 33.4667265 38.9978622, 33.465541 38.9994756, 33.4619522 39.0044782, 33.4590499 39.0084894)"
,"LINESTRING (33.5346937 38.936734, 33.5346991 38.9365713, 33.5345864 38.9364628, 33.5345113 38.9363877, 33.5344148 38.9362875, 33.5342485 38.9360872, 33.5341304 38.9358703, 33.5339963 38.9355072, 33.5338944 38.9352277, 33.5337657 38.935019, 33.5335994 38.9347812, 33.5332239 38.9344015, 33.5331219 38.9342053, 33.5329503 38.9340301, 33.5328323 38.9337296, 33.5325855 38.9332205, 33.5323763 38.9327281, 33.5323173 38.9323317, 33.5323387 38.9316015, 33.5324085 38.931326, 33.5326445 38.9310214, 33.5319525 38.929878, 33.5315824 38.929348, 33.5313034 38.9288723, 33.5310298 38.928167, 33.530708 38.9270403, 33.5300857 38.9253584, 33.530032 38.9248534, 33.5300857 38.9240396, 33.530091 38.9236515, 33.5301071 38.923134, 33.5301876 38.922821, 33.5304719 38.9224704, 33.5309064 38.9219779, 33.5312498 38.9216733)"
,"LINESTRING (33.5375208 38.9405894, 33.5391061 38.9380891)"
,"LINESTRING (33.5151141 38.9066779, 33.4649562 38.9015206, 33.3603715 38.8919681)"
,"LINESTRING (33.4590499 39.0084894, 33.4608864 39.0094133, 33.4645448 39.005117, 33.4745498 39.005445, 33.4788689 39.0058186, 33.4801172 39.0054815, 33.4905687 39.0015086, 33.493275 38.9977818, 33.5045647 38.9990211, 33.5082915 38.9991942, 33.5116357 38.9978638, 33.5272445 38.9949116, 33.531436 38.9956952)"
,"LINESTRING (33.531436 38.9956952, 33.5346526 38.9962784, 33.5357916 38.9961326, 33.5362836 38.9968342, 33.539081 38.9997774, 33.5398464 39.0014358, 33.540466 39.0023287, 33.5416141 39.0043334, 33.5422155 39.0050988, 33.5437463 39.0059371, 33.5454959 39.0059553, 33.5460061 39.0096548, 33.5468991 39.0128987, 33.5470449 39.0139556, 33.5483752 39.020899, 33.5512 39.0195869, 33.5526943 39.0192042, 33.5531317 39.0267398, 33.5530406 39.0275325, 33.5523481 39.0293914, 33.548521 39.0297376, 33.5492682 39.0352777, 33.5489675 39.0373735, 33.5494869 39.0383029, 33.5505075 39.0404078, 33.5508173 39.0407085, 33.5499881 39.0415377, 33.5494414 39.0429774, 33.5489311 39.0441619, 33.5483844 39.0455196, 33.5497967 39.0457019, 33.5491224 39.047907, 33.5483115 39.0511053, 33.5484208 39.0526543, 33.5474367 39.0526725, 33.5465711 39.0552148, 33.5463615 39.0554426, 33.5461519 39.0559984, 33.5498878 39.0567456, 33.5467715 39.0616297, 33.5454776 39.0639441, 33.5430538 39.0648917, 33.5420151 39.0622128, 33.5421973 39.0576021, 33.5405207 39.0540667, 33.5394455 39.053356, 33.5386072 39.0519709, 33.5385707 39.0511326, 33.5310078 39.059789, 33.5300966 39.0605909, 33.5291489 39.0616114, 33.5278186 39.0617208, 33.5263424 39.0640717, 33.5234813 39.063853, 33.5215495 39.0637801, 33.518907 39.064509, 33.5190346 39.0669693, 33.5161188 39.0670604, 33.5161734 39.0700674, 33.5171757 39.0721449, 33.5171393 39.0754981, 33.5126926 39.0771383, 33.5118179 39.0796532, 33.5100866 39.0824232, 33.5092847 39.0856307, 33.5058586 39.0857582, 33.5018129 39.0839723, 33.5000998 39.0824415, 33.5010475 39.0809289, 33.4993709 39.0800541, 33.4977125 39.0816943, 33.4967649 39.0830611, 33.4913159 39.083134, 33.4943593 39.0891297, 33.4926827 39.09436, 33.4894753 39.0976038, 33.4859033 39.100301, 33.4800534 39.1015767, 33.4755339 39.1029981, 33.4725269 39.1043649, 33.4699756 39.1058593, 33.4670415 39.106406, 33.4647453 39.1057864, 33.4620299 39.1046019, 33.4609 39.1035995, 33.4548132 39.1064607)"
